Sr. No.,Title,Address,Phone,Nearest Police Station,Latitude,Longitude,Image,Pincode
1,Cyber Police Station Vishrambag,204 National Highway Sangli - Miraj Rd Saraswati Nagar Vishrambag Sangli Maharashtra 416416 India,91-0233-2672200,"Vishrambag police station, Sangli",16.85065,74.59458,https://i0.wp.com/policenama.com/wp-content/uploads/2020/10/aatpadi-police-station.jpg?fit=750%2C450&ssl=1,416415
2,Sangli Rural Police Station,VH58+MWF Rajwada Vasahat Khanbhag Sangli Sangli Miraj Kupwad Maharashtra 416416 India,91-0233-2373252,"Vishrambag police station, Sangli",16.86008,74.56729,https://i0.wp.com/policenama.com/wp-content/uploads/2020/10/aatpadi-police-station.jpg?fit=750%2C450&ssl=1,416416
3,Atpadi Police Station,CWJR+R2F MH SH 153 Atpadi Maharashtra 415301 India,91-23243-220221,Kavathe Mahankal Police Station,17.43272,74.94001,https://i0.wp.com/policenama.com/wp-content/uploads/2020/10/aatpadi-police-station.jpg?fit=750%2C450&ssl=1,415301
4,Sangli City Police Station,VH67+5X6 NH166 Ganapati Peth Sangli Sangli Miraj Kupwad Maharashtra 416416 India,91-0233-2373033,Sangli Rural Police Station,16.86127,74.56466,https://i0.wp.com/policenama.com/wp-content/uploads/2020/10/aatpadi-police-station.jpg?fit=750%2C450&ssl=1,416416
5,Vishrambag Police Station,"RHXW+J6X oppo. ganesh nashta center chowk, Vishrambag, Sangli, Sangli Miraj Kupwad, Maharashtra 416416, India",91-0233-2670033,Sangli City,16.84993,74.59538,https://i0.wp.com/policenama.com/wp-content/uploads/2020/10/aatpadi-police-station.jpg?fit=750%2C450&ssl=1,416415
6,Miraj City Police Station,"F54V+V9V, Vithal Nagar, Sindhi Colony, Gondia, Maharashtra 441601, India",91-0233-2223333,"Mahatma gandhi chowk, police station. ",21.45806,80.19343,https://i0.wp.com/policenama.com/wp-content/uploads/2020/10/aatpadi-police-station.jpg?fit=750%2C450&ssl=1,416410
7,Sanjaynagar Police Station,"Play Ground, Near ITI College, Chintamani Nagar, Sangli, Maharashtra 416416",91-0233-2313456,"Vishrambuag police station, Sangli",16.87265,74.58528,https://i0.wp.com/policenama.com/wp-content/uploads/2020/10/aatpadi-police-station.jpg?fit=750%2C450&ssl=1,416416
8,Mahtma Gandhi Chouk Police Station,"RJRP+CXP, Old Miraj Rd, Chandanwadi, Miraj, Maharashtra 416410, India",91-0233-2211633,Miraj City Police Station,16.84162,74.63744,https://i0.wp.com/policenama.com/wp-content/uploads/2020/10/aatpadi-police-station.jpg?fit=750%2C450&ssl=1,416416
9,Miraj Rural Police Station,"RMV2+554, Near SSVSS Institute, Maji Sainik Vasahat, Miraj, Maharashtra 416410, India",91-0233-2232133,Miraj City Police Station,16.84366,74.6504,https://i0.wp.com/policenama.com/wp-content/uploads/2020/10/aatpadi-police-station.jpg?fit=750%2C450&ssl=1,416410
10,Midc Kupwad Police Station,"Trimurti Engineering Tools Pvt Ltd., 66, Kupwad MIDC Rd, MIDC Kupwad, Sangli, Maharashtra 416436, India",91-0233-2644333 ,Mahtma Gandhi Chouk Police Station,16.87467,74.6307,https://i0.wp.com/policenama.com/wp-content/uploads/2020/10/aatpadi-police-station.jpg?fit=750%2C450&ssl=1,416436
11,Tasgaon Police Station,"Bapu Wadi, near Shivaji Statue, Bapu Wadi, Tasgaon, Maharashtra 416312, India",91-02346-240100,Bhilwadi Police Station,17.0377,74.60707,https://i0.wp.com/policenama.com/wp-content/uploads/2020/10/aatpadi-police-station.jpg?fit=750%2C450&ssl=1,416312
12,Vita Police Station,"7GCQ+VPX, Sangola - Vita Rd, Advi Peth, Vita, Maharashtra 415311, India",91-0233-2232133,Atpadi Police Station,17.03762,74.60699,https://i0.wp.com/policenama.com/wp-content/uploads/2020/10/aatpadi-police-station.jpg?fit=750%2C450&ssl=1,415311
13,Kadegaon Police Station,"78WH+GJF, Karad Vita Rd, Kadegaon, Maharashtra 415304, India",91-02347-242233,Vita Police Station,17.29792,74.32876,https://i0.wp.com/policenama.com/wp-content/uploads/2020/10/aatpadi-police-station.jpg?fit=750%2C450&ssl=1,415304
